povertyline,headcount,povertygap,population,mean,popshr,weight,welfare,cumwelf,q,countrycode,cty,n,nq
8.453125,0.4686372,0.1989875,49648685,438.572,0.0029961000000000015,148752.42512850006,8.430781578552258,113168349.71036991,10,COL,COL,5.65,100
8.503125,0.4713478,0.2005799,49648685,438.572,0.0027106000000000074,134577.72556100038,8.48176764369524,114309806.7085953,10,COL,COL,5.65,100
8.553125,0.47401,0.2021703,49648685,438.572,0.0026622000000000035,132174.72920700017,8.528898796108132,115437111.59740481,10,COL,COL,5.65,100
8.603125,0.4772398,0.2037593,49648685,438.572,0.003229800000000005,160355.32281300024,8.578857049972257,116812776.98901969,10,COL,COL,5.65,100
8.653125,0.4802239,0.2053486,49648685,438.572,0.0029840999999999895,148156.64090849948,8.62685692503593,118090903.13263124,10,COL,COL,5.65,100
8.703125,0.4831336,0.2069358,49648685,438.572,0.002909700000000015,144462.77874450074,8.6791242439085,119344713.53797503,10,COL,COL,5.65,100
8.753125,0.4859877,0.2085218,49648685,438.572,0.002854100000000026,141702.31185850129,8.72769973459237,120581448.7675736,10,COL,COL,5.65,100
8.803125,0.4884551,0.2101041,49648685,438.572,0.002467399999999953,122503.16536899767,8.780473752735476,121657084.59572309,10,COL,COL,5.65,100
8.853125,0.4908855,0.2116831,49648685,438.572,0.0024303999999999992,120666.16402399997,8.827806379608258,122722302.12829702,10,COL,COL,5.65,100
8.953125,0.4955056,0.2148262,49648685,438.572,0.004620100000000016,229381.88956850077,8.905436164801637,124765047.90321088,10,COL,COL,5.65,100
9.053125,0.500804,0.2179573,49648685,438.572,0.005298400000000036,263058.5926040018,9.0005997683263,127132733.0108587,11,COL,COL,5.65,100
9.153125,0.5058129,0.2210748,49648685,438.572,0.005008899999999983,248685.29829649915,9.103174474435589,129396558.67047879,11,COL,COL,5.65,100
9.253125,0.510637,0.2241781,49648685,438.572,0.004824099999999998,239510.2213084999,9.20308192201656,131600790.85834123,11,COL,COL,5.65,100
9.353125,0.5158935,0.2272687,49648685,438.572,0.005256499999999997,260978.31270249985,9.303495374774041,134028801.38348527,11,COL,COL,5.65,100
9.453125,0.5207807,0.2303476,49648685,438.572,0.0048871999999999804,242643.05333199902,9.40345513535354,136310484.44939792,11,COL,COL,5.65,100
9.553125,0.525904,0.2334134,49648685,438.572,0.005123300000000053,254365.1078605026,9.505370500946645,138728319.04212525,11,COL,COL,5.65,100
9.653125,0.5310495,0.2364678,49648685,438.572,0.005145499999999914,255467.30866749573,9.607367542026854,141182687.3714663,11,COL,COL,5.65,100
